"N"	"P"	"Corr"	"Ratio"	"Stab"	"ROC"	"FP"	"FN"	"num_select"	"FDR"	"ROC_mean"	"FP_mean"	"FN_mean"	"method"
1000	100	0	0.1	0.49	"1 ( 0 )"	"3.39 ( 0.19 )"	"1.14 ( 0.07 )"	8.25	0.38	1	3.39	1.14	"rf"
50	500	0	10	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	500	0	5	0.01	"1 ( 0 )"	"24.68 ( 0.48 )"	"4.5 ( 0.09 )"	26.18	0.94	1	24.68	4.5	"rf"
500	500	0	1	0.09	"1 ( 0 )"	"23.08 ( 0.51 )"	"2.34 ( 0.1 )"	26.74	0.86	1	23.08	2.34	"rf"
1000	500	0	0.5	0.14	"1 ( 0 )"	"22.72 ( 0.46 )"	"1.34 ( 0.08 )"	27.38	0.83	1	22.72	1.34	"rf"
50	1000	0	20	NA	"1 ( 0 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1	0	6	"rf"
100	1000	0	10	0.01	"1 ( 0 )"	"46.76 ( 0.67 )"	"4.86 ( 0.09 )"	47.9	0.98	1	46.76	4.86	"rf"
500	1000	0	2	0.04	"1 ( 0 )"	"47.82 ( 0.66 )"	"2.5 ( 0.1 )"	51.32	0.93	1	47.82	2.5	"rf"
1000	1000	0	1	0.07	"1 ( 0 )"	"47.14 ( 0.77 )"	"1.46 ( 0.08 )"	51.68	0.91	1	47.14	1.46	"rf"
50	50	0	1	0.13	"0.98 ( 0 )"	"16.38 ( 0.96 )"	"0.61 ( 0.06 )"	21.77	0.71	0.98	16.38	0.61	"compLasso"
100	50	0	0.5	0.32	"0.93 ( 0 )"	"7.94 ( 0.54 )"	"0.34 ( 0.06 )"	13.6	0.54	0.93	7.94	0.34	"compLasso"
500	50	0	0.1	0.63	"0.91 ( 0 )"	"2.67 ( 0.6 )"	"0.1 ( 0.03 )"	8.57	0.19	0.91	2.67	0.1	"compLasso"
1000	50	0	0.05	0.75	"0.91 ( 0 )"	"1.61 ( 0.48 )"	"0.04 ( 0.02 )"	7.57	0.09	0.91	1.61	0.04	"compLasso"
50	100	0	2	0.06	"0.99 ( 0 )"	"39.18 ( 2.14 )"	"0.63 ( 0.07 )"	44.55	0.85	0.99	39.18	0.63	"compLasso"
100	100	0	1	0.2	"0.94 ( 0 )"	"16.29 ( 1.16 )"	"0.47 ( 0.06 )"	21.82	0.7	0.94	16.29	0.47	"compLasso"
500	100	0	0.2	0.47	"0.91 ( 0 )"	"5.63 ( 0.84 )"	"0.13 ( 0.03 )"	11.5	0.3	0.91	5.63	0.13	"compLasso"
1000	100	0	0.1	0.43	"0.91 ( 0 )"	"6.87 ( 1.8 )"	"0 ( 0 )"	12.87	0.17	0.91	6.87	0	"compLasso"
50	500	0	10	0.01	"1 ( 0 )"	"251.02 ( 6.8 )"	"0.36 ( 0.06 )"	256.66	0.98	1	251.02	0.36	"compLasso"
100	500	0	5	0.03	"1 ( 0 )"	"134.32 ( 6.63 )"	"0.33 ( 0.05 )"	139.99	0.95	1	134.32	0.33	"compLasso"
500	500	0	1	0.43	"0.91 ( 0 )"	"8.32 ( 1.15 )"	"0.1 ( 0.03 )"	14.22	0.41	0.91	8.32	0.1	"compLasso"
1000	500	0	0.5	0.6	"0.91 ( 0 )"	"4.63 ( 1.57 )"	"0 ( 0 )"	10.63	0.21	0.91	4.63	0	"compLasso"
50	1000	0	20	0.01	"1 ( 0 )"	"406.32 ( 7.33 )"	"0.73 ( 0.07 )"	411.59	0.99	1	406.32	0.73	"compLasso"
100	1000	0	10	0.02	"1 ( 0 )"	"283.24 ( 7.31 )"	"0.49 ( 0.06 )"	288.75	0.98	1	283.24	0.49	"compLasso"
500	1000	0	2	0.4	"0.91 ( 0 )"	"9.4 ( 1.07 )"	"0.07 ( 0.03 )"	15.33	0.47	0.91	9.4	0.07	"compLasso"
1000	1000	0	1	0.82	"0.91 ( 0 )"	"1.91 ( 0.29 )"	"0.01 ( 0.01 )"	7.9	0.18	0.91	1.91	0.01	"compLasso"
