"N"	"P"	"Corr"	"Ratio"	"Stab"	"MSE"	"FP"	"FN"	"num_select"	"FDR"	"MSE_mean"	"FP_mean"	"FN_mean"	"method"
1000	1000	0.1	1	0.16	"0.26 ( 0 )"	"31.4 ( 1.69 )"	"0 ( 0 )"	36.4	0.8	0.26	31.4	0	"elnet"
50	50	0.3	1	0.21	"0.53 ( 0.03 )"	"14.65 ( 0.58 )"	"0.03 ( 0.02 )"	19.62	0.67	0.53	14.6	0.03	"elnet"
100	50	0.3	0.5	0.2	"0.34 ( 0.01 )"	"14.91 ( 0.58 )"	"0 ( 0 )"	19.91	0.67	0.34	14.9	0	"elnet"
500	50	0.3	0.1	0.23	"0.27 ( 0 )"	"13.94 ( 0.57 )"	"0 ( 0 )"	18.94	0.65	0.27	13.9	0	"elnet"
1000	50	0.3	0.05	0.27	"0.26 ( 0 )"	"11.94 ( 0.43 )"	"0 ( 0 )"	16.94	0.62	0.26	11.9	0	"elnet"
50	100	0.3	2	0.19	"0.72 ( 0.04 )"	"19.67 ( 0.66 )"	"0.08 ( 0.03 )"	24.59	0.74	0.72	19.6	0.08	"elnet"
100	100	0.3	1	0.19	"0.38 ( 0.01 )"	"20.48 ( 0.85 )"	"0 ( 0 )"	25.48	0.74	0.38	20.4	0	"elnet"
500	100	0.3	0.2	0.2	"0.26 ( 0 )"	"19.3 ( 0.93 )"	"0 ( 0 )"	24.3	0.72	0.26	19.3	0	"elnet"
1000	100	0.3	0.1	0.2	"0.26 ( 0 )"	"19 ( 0.86 )"	"0 ( 0 )"	24	0.71	0.26	19	0	"elnet"
50	500	0.3	10	0.1	"1.94 ( 0.12 )"	"32.52 ( 1.94 )"	"1.33 ( 0.1 )"	36.19	0.85	1.94	32.5	1.33	"elnet"
100	500	0.3	5	0.14	"0.51 ( 0.02 )"	"34.04 ( 1.37 )"	"0.01 ( 0.01 )"	39.03	0.83	0.51	34	0.01	"elnet"
500	500	0.3	1	0.16	"0.28 ( 0 )"	"30.92 ( 1.44 )"	"0 ( 0 )"	35.92	0.8	0.28	30.9	0	"elnet"
1000	500	0.3	0.5	0.16	"0.26 ( 0 )"	"30.61 ( 1.55 )"	"0 ( 0 )"	35.61	0.79	0.26	30.6	0	"elnet"
50	1000	0.3	20	0.08	"2.46 ( 0.17 )"	"35.99 ( 1.99 )"	"1.83 ( 0.1 )"	39.16	0.88	2.46	35.9	1.83	"elnet"
100	1000	0.3	10	0.12	"0.6 ( 0.03 )"	"43.92 ( 1.49 )"	"0.01 ( 0.01 )"	48.91	0.86	0.6	43.9	0.01	"elnet"
500	1000	0.3	2	0.13	"0.28 ( 0 )"	"38.46 ( 2.16 )"	"0 ( 0 )"	43.46	0.84	0.28	38.4	0	"elnet"
1000	1000	0.3	1	0.13	"0.27 ( 0 )"	"38.29 ( 2.09 )"	"0 ( 0 )"	43.29	0.83	0.27	38.2	0	"elnet"
50	50	0.5	1	0.2	"0.57 ( 0.04 )"	"14.64 ( 0.66 )"	"0.09 ( 0.03 )"	19.55	0.66	0.57	14.6	0.09	"elnet"
100	50	0.5	0.5	0.21	"0.33 ( 0.01 )"	"14.76 ( 0.55 )"	"0 ( 0 )"	19.76	0.67	0.33	14.7	0	"elnet"
500	50	0.5	0.1	0.23	"0.26 ( 0 )"	"13.76 ( 0.51 )"	"0 ( 0 )"	18.76	0.66	0.26	13.7	0	"elnet"
1000	50	0.5	0.05	0.23	"0.26 ( 0 )"	"13.4 ( 0.49 )"	"0 ( 0 )"	18.4	0.65	0.26	13.4	0	"elnet"
50	100	0.5	2	0.17	"0.8 ( 0.04 )"	"20.05 ( 0.68 )"	"0.34 ( 0.06 )"	24.71	0.75	0.8	20	0.34	"elnet"
100	100	0.5	1	0.17	"0.41 ( 0.02 )"	"21.92 ( 0.83 )"	"0 ( 0 )"	26.92	0.76	0.41	21.9	0	"elnet"
500	100	0.5	0.2	0.2	"0.27 ( 0 )"	"18.97 ( 0.78 )"	"0 ( 0 )"	23.97	0.72	0.27	18.9	0	"elnet"
1000	100	0.5	0.1	0.2	"0.26 ( 0 )"	"19.53 ( 0.66 )"	"0 ( 0 )"	24.53	0.74	0.26	19.5	0	"elnet"
50	500	0.5	10	0.09	"1.86 ( 0.11 )"	"29.92 ( 1.25 )"	"1.88 ( 0.1 )"	33.04	0.86	1.86	29.9	1.88	"elnet"
100	500	0.5	5	0.13	"0.59 ( 0.02 )"	"37.33 ( 1.25 )"	"0.07 ( 0.03 )"	42.26	0.85	0.59	37.3	0.07	"elnet"
500	500	0.5	1	0.13	"0.28 ( 0 )"	"37.1 ( 1.54 )"	"0 ( 0 )"	42.1	0.83	0.28	37.1	0	"elnet"
1000	500	0.5	0.5	0.13	"0.27 ( 0 )"	"36.71 ( 1.5 )"	"0 ( 0 )"	41.71	0.83	0.27	36.7	0	"elnet"
50	1000	0.5	20	0.07	"2.33 ( 0.14 )"	"35.29 ( 1.69 )"	"2.53 ( 0.1 )"	37.76	0.9	2.33	35.2	2.53	"elnet"
100	1000	0.5	10	0.11	"0.73 ( 0.03 )"	"44.83 ( 1.58 )"	"0.18 ( 0.05 )"	49.65	0.87	0.73	44.8	0.18	"elnet"
500	1000	0.5	2	0.12	"0.29 ( 0 )"	"42.86 ( 2.28 )"	"0 ( 0 )"	47.86	0.85	0.29	42.8	0	"elnet"
1000	1000	0.5	1	0.13	"0.27 ( 0 )"	"41.01 ( 1.99 )"	"0 ( 0 )"	46.01	0.84	0.27	41	0	"elnet"
50	50	0.7	1	0.18	"0.6 ( 0.04 )"	"15.25 ( 0.54 )"	"0.25 ( 0.05 )"	20	0.69	0.6	15.2	0.25	"elnet"
100	50	0.7	0.5	0.2	"0.35 ( 0.01 )"	"15.66 ( 0.62 )"	"0 ( 0 )"	20.66	0.69	0.35	15.6	0	"elnet"
500	50	0.7	0.1	0.24	"0.26 ( 0 )"	"13.41 ( 0.46 )"	"0 ( 0 )"	18.41	0.65	0.26	13.4	0	"elnet"
1000	50	0.7	0.05	0.26	"0.26 ( 0 )"	"12.18 ( 0.6 )"	"0 ( 0 )"	17.18	0.61	0.26	12.1	0	"elnet"
50	100	0.7	2	0.15	"0.81 ( 0.04 )"	"19.25 ( 0.81 )"	"0.79 ( 0.09 )"	23.46	0.75	0.81	19.2	0.79	"elnet"
100	100	0.7	1	0.18	"0.36 ( 0.01 )"	"21.79 ( 0.78 )"	"0.01 ( 0.01 )"	26.78	0.76	0.36	21.7	0.01	"elnet"
500	100	0.7	0.2	0.18	"0.27 ( 0 )"	"21.43 ( 0.75 )"	"0 ( 0 )"	26.43	0.75	0.27	21.4	0	"elnet"
1000	100	0.7	0.1	0.21	"0.26 ( 0 )"	"18.91 ( 0.6 )"	"0 ( 0 )"	23.91	0.73	0.26	18.9	0	"elnet"
50	500	0.7	10	0.09	"1.48 ( 0.09 )"	"27.19 ( 0.95 )"	"2.71 ( 0.08 )"	29.48	0.88	1.48	27.1	2.71	"elnet"
100	500	0.7	5	0.11	"0.6 ( 0.02 )"	"37.9 ( 1.54 )"	"0.51 ( 0.07 )"	42.39	0.86	0.6	37.9	0.51	"elnet"
500	500	0.7	1	0.13	"0.29 ( 0 )"	"38.11 ( 1.41 )"	"0 ( 0 )"	43.11	0.84	0.29	38.1	0	"elnet"
1000	500	0.7	0.5	0.13	"0.27 ( 0 )"	"38.16 ( 1.26 )"	"0 ( 0 )"	43.16	0.85	0.27	38.1	0	"elnet"
50	1000	0.7	20	0.06	"1.66 ( 0.09 )"	"35.91 ( 1.86 )"	"3.03 ( 0.09 )"	37.88	0.91	1.66	35.9	3.03	"elnet"
100	1000	0.7	10	0.09	"0.78 ( 0.04 )"	"39.69 ( 1.62 )"	"1.11 ( 0.1 )"	43.58	0.88	0.78	39.6	1.11	"elnet"
500	1000	0.7	2	0.11	"0.3 ( 0 )"	"49.45 ( 1.98 )"	"0 ( 0 )"	54.45	0.87	0.3	49.4	0	"elnet"
1000	1000	0.7	1	0.11	"0.27 ( 0 )"	"48.15 ( 1.76 )"	"0 ( 0 )"	53.15	0.87	0.27	48.1	0	"elnet"
50	50	0.9	1	0.16	"0.5 ( 0.02 )"	"13.26 ( 0.77 )"	"1.03 ( 0.11 )"	17.23	0.66	0.5	13.2	1.03	"elnet"
100	50	0.9	0.5	0.21	"0.35 ( 0.01 )"	"14 ( 0.69 )"	"0.27 ( 0.06 )"	18.73	0.66	0.35	14	0.27	"elnet"
500	50	0.9	0.1	0.29	"0.27 ( 0 )"	"11.63 ( 0.41 )"	"0 ( 0 )"	16.63	0.62	0.27	11.6	0	"elnet"
1000	50	0.9	0.05	0.29	"0.26 ( 0 )"	"12.06 ( 0.52 )"	"0 ( 0 )"	17.06	0.62	0.26	12	0	"elnet"
50	100	0.9	2	0.15	"0.56 ( 0.03 )"	"15.35 ( 0.8 )"	"1.83 ( 0.12 )"	18.52	0.75	0.56	15.3	1.83	"elnet"
100	100	0.9	1	0.18	"0.4 ( 0.02 )"	"18.69 ( 0.92 )"	"0.41 ( 0.07 )"	23.28	0.73	0.4	18.6	0.41	"elnet"
500	100	0.9	0.2	0.23	"0.27 ( 0 )"	"17.36 ( 0.62 )"	"0 ( 0 )"	22.36	0.71	0.27	17.3	0	"elnet"
1000	100	0.9	0.1	0.26	"0.26 ( 0 )"	"16.05 ( 0.62 )"	"0 ( 0 )"	21.05	0.69	0.26	16	0	"elnet"
50	500	0.9	10	0.08	"0.88 ( 0.04 )"	"25.11 ( 1.93 )"	"3.23 ( 0.08 )"	26.88	0.87	0.88	25.1	3.23	"elnet"
100	500	0.9	5	0.1	"0.53 ( 0.02 )"	"27.99 ( 1.26 )"	"2.15 ( 0.1 )"	30.84	0.86	0.53	27.9	2.15	"elnet"
500	500	0.9	1	0.12	"0.29 ( 0 )"	"41.14 ( 1.02 )"	"0 ( 0 )"	46.14	0.86	0.29	41.1	0	"elnet"
1000	500	0.9	0.5	0.13	"0.27 ( 0 )"	"39.21 ( 0.84 )"	"0 ( 0 )"	44.21	0.86	0.27	39.2	0	"elnet"
50	1000	0.9	20	0.04	"0.94 ( 0.05 )"	"36.59 ( 3.6 )"	"3.72 ( 0.08 )"	37.87	0.92	0.94	36.5	3.72	"elnet"
100	1000	0.9	10	0.09	"0.59 ( 0.02 )"	"32.05 ( 1.85 )"	"2.59 ( 0.06 )"	34.46	0.88	0.59	32	2.59	"elnet"
500	1000	0.9	2	0.09	"0.3 ( 0 )"	"57.69 ( 1.57 )"	"0 ( 0 )"	62.69	0.9	0.3	57.6	0	"elnet"
1000	1000	0.9	1	0.1	"0.27 ( 0 )"	"52.35 ( 1.6 )"	"0 ( 0 )"	57.35	0.89	0.27	52.3	0	"elnet"
50	50	0.1	1	0	"1.4 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.4	0	6	"rf"
100	50	0.1	0.5	0.19	"0.86 ( 0.03 )"	"1.87 ( 0.14 )"	"4.25 ( 0.09 )"	3.62	0.48	0.86	1.87	4.25	"rf"
500	50	0.1	0.1	0.77	"0.44 ( 0.01 )"	"0.32 ( 0.05 )"	"1.81 ( 0.07 )"	4.51	0.06	0.44	0.32	1.81	"rf"
1000	50	0.1	0.05	0.86	"0.34 ( 0 )"	"0.15 ( 0.04 )"	"0.93 ( 0.07 )"	5.22	0.02	0.34	0.15	0.93	"rf"
50	100	0.1	2	0	"1.36 ( 0.06 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.36	0	6	"rf"
100	100	0.1	1	0.12	"0.93 ( 0.03 )"	"4.11 ( 0.18 )"	"4.17 ( 0.1 )"	5.93	0.68	0.93	4.11	4.17	"rf"
500	100	0.1	0.2	0.57	"0.56 ( 0.01 )"	"2.08 ( 0.14 )"	"1.52 ( 0.08 )"	6.56	0.29	0.56	2.08	1.52	"rf"
1000	100	0.1	0.1	0.74	"0.45 ( 0 )"	"1.11 ( 0.1 )"	"0.74 ( 0.07 )"	6.37	0.16	0.45	1.11	0.74	"rf"
50	500	0.1	10	0	"1.29 ( 0.05 )"	"1 ( 0 )"	"6 ( 0 )"	0	NA	1.29	0	6	"rf"
